min_samples_split,R2,MAE,RMSE,Time(s)
2,0.857189465247472,726.7990639933247,1298.761324797336,5.575783538818359
5,0.8572662501678888,726.744698711319,1298.4103615501306,5.467962217330933
10,0.8573598295748607,726.6004794220355,1297.9828349173536,5.547183895111084
20,0.8574160003166232,726.7107489085868,1297.7277286036829,5.15354700088501
30,0.8574510792044766,726.6796182475966,1297.5683931370259,5.130494165420532
40,0.8574783459981685,726.6116274727316,1297.4413451487849,5.252134037017822
50,0.8573700065828153,726.9475060264369,1297.9356693379327,5.571230363845825
60,0.8573497297308721,727.2350438133741,1298.0257101946306,5.36900520324707
70,0.8573644319071183,727.2630579903343,1297.9576161111468,5.3875260829925535
80,0.8573728044353208,727.2395438282878,1297.9204250746714,5.263135480880737
90,0.8573810483664994,727.3399173915996,1297.8851556316242,5.238517951965332
100,0.8573618997084417,727.5367090011396,1297.9701284866233,5.103727579116821
