min_samples_leaf,R2,MAE,RMSE,Time(s)
1,0.8574783459981685,726.6116274727316,1297.4413451487849,6.062214374542236
2,0.857513480421007,726.5981162696155,1297.2828754278023,5.376107549667358
4,0.8573780679324614,726.9982389362345,1297.8960323831298,5.244227409362793
6,0.8572594204599462,727.4336041585709,1298.435218123514,5.398939704895019
8,0.8572748073606385,727.455965421315,1298.3674846795416,4.811850118637085
10,0.8572184280732211,727.691740520487,1298.6237690186906,3.850204515457153
