max_depth,R2,MAE,RMSE,Time(s)
,0.822779157385825,805.0362652904263,1446.6919219746037,25.312172508239748
10.0,0.857189465247472,726.7990639933247,1298.761324797336,5.157219362258911
20.0,0.8405983585476398,761.8824245569189,1372.0763934728543,20.09785509109497
30.0,0.8232371103174885,804.1228458553359,1444.7979816857126,23.286110353469848
40.0,0.8227615896909345,805.0550259870618,1446.763618506518,23.80128984451294
50.0,0.822779157385825,805.0362652904263,1446.6919219746037,25.81786379814148
60.0,0.822779157385825,805.0362652904263,1446.6919219746037,25.903755950927735
70.0,0.822779157385825,805.0362652904263,1446.6919219746037,26.420337533950807
