n_estimators,R2,MAE,RMSE,Time(s)
50,0.8209711648206557,808.1545656822443,1454.0648207735467,2.505922222137451
100,0.8218654585815672,805.9143890110074,1450.4167771433135,4.789830017089844
200,0.8223415355825867,805.6527938938955,1448.4737241152784,10.296644306182861
300,0.8225839088232144,805.3003492449659,1447.4897496471056,15.773024654388427
400,0.822779157385825,805.0362652904263,1446.6919219746037,22.02059578895569
500,0.8226582716823808,805.2075941798685,1447.1798343163946,30.4111047744751
