max_features,R2,MAE,RMSE,Time(s)
1.0,0.857513480421007,726.5981162696155,1297.2828754278023,5.700271463394165
0.7,0.8553741035082639,734.4236856123446,1306.966095398054,2.873351240158081
0.5,0.8553741035082639,734.4236856123446,1306.966095398054,2.9479269981384277
sqrt,0.8553741035082639,734.4236856123446,1306.966095398054,2.7094847679138185
log2,0.8553741035082639,734.4236856123446,1306.966095398054,2.131238555908203
