max_depth,R2,MAE,RMSE,Time(s)
2,0.8553407716685989,735.4288924813742,1307.1348231931456,2.327349138259888
3,0.8558631968301078,732.5894289299991,1304.7820093039368,3.5494646549224855
4,0.856032282444627,731.1988356655423,1304.0176876809583,4.506952285766602
5,0.8560573840949213,729.1580595284175,1303.9121085664037,5.267515087127686
6,0.8549729921563498,728.6480710877044,1308.810518151829,5.375580644607544
7,0.8526801626846048,731.7014885973499,1319.0983863286062,5.629004573822021
8,0.85024916596817,734.8363634148951,1329.946524103294,5.867931842803955
