n_estimators,R2,MAE,RMSE,Time(s)
50,0.8556799575435129,734.7908990988017,1305.6011929703975,1.8888518810272217
100,0.8558631968301078,732.5894289299991,1304.7820093039368,3.5076596260070803
200,0.8552000706584446,732.1632055276502,1307.7931082484856,6.740525770187378
300,0.8546898444721439,732.0390571541777,1310.08935038629,9.551064348220825
400,0.8542233358789544,732.1709798135433,1312.1914882486988,11.095233345031739
500,0.8533367489931527,733.3649257679338,1316.1753115313973,12.434180688858032
