min_samples_leaf,R2,MAE,RMSE,Time(s)
1,0.8558631968301078,732.5894289299991,1304.7820093039368,3.1578282833099367
2,0.856026975692129,732.5146863952164,1304.043558395657,3.2642425537109374
4,0.8558879368744702,732.8313998988999,1304.6699689561833,3.26520357131958
8,0.8559354650693705,732.7418311527491,1304.4569168663934,3.268339443206787
16,0.8559439926897771,732.8667826718307,1304.4185560511064,3.043465280532837
32,0.8560831784340251,732.4968296600615,1303.7832508905642,3.065651369094849
64,0.8561005123878305,732.7351535570817,1303.7009871483654,3.0587021350860595
128,0.8560281990596073,733.1104971730667,1304.0192218493635,3.0537253856658935
