kernel,R2,MAE,RMSE,fit_time(s)
linear,0.7840488506440197,843.6230020285913,1584.4360612456978,33.83441162109375
rbf,0.6920700113608909,913.022026384987,1892.0079255470569,37.2186176776886
poly,0.7005536278486464,1222.6474066841504,1865.7630427721242,60.5374801158905
sigmoid,0.28264403570111685,1689.8926826397137,2887.7814018001673,52.284119606018066
