C,R2,MAE,RMSE,fit_time(s)
0.1,0.2256755932638137,1605.4010753393852,3000.25682639784,30.803699016571045
1.0,0.6920700113608909,913.022026384987,1892.0079255470569,26.515955686569214
5.0,0.8134333358277503,764.1311410114654,1472.6989647188705,26.50323724746704
10.0,0.831273395418338,740.7764753995623,1400.518151204154,26.14789915084839
50.0,0.8453317287409238,719.9983100447573,1340.9036533502504,27.193428993225098
100.0,0.8474003648067214,715.3891885001806,1331.906400771956,25.989357233047485
500.0,0.8505079568863467,708.9991651857938,1318.274942128661,25.867123126983643
1000.0,0.8513395534373694,707.065030075915,1314.603168974749,26.853548049926758
5000.0,0.8531986839958094,703.1177891212726,1306.3571684676706,28.22588086128235
10000.0,0.8533089850299995,702.478258715949,1305.8663022164644,30.595510244369507
20000.0,0.8535237229786085,702.0408398206415,1304.910136799476,32.844330072402954
