epsilon,R2,MAE,RMSE,fit_time(s)
0.001,0.8535233868670241,702.0406676067043,1304.9116339537281,32.878626108169556
0.01,0.8535234237915299,702.0406087521334,1304.911469479621,33.180317878723145
0.05,0.8535236589036171,702.0409858004123,1304.9104222112105,32.118512868881226
0.1,0.8535237229786085,702.0408398206415,1304.910136799476,32.8670072555542
0.2,0.8535238395975372,702.0412657268314,1304.9096173390706,31.894073486328125
0.5,0.8535288313823299,702.0426410767652,1304.8873820365363,33.02852129936218
1.0,0.853523590910676,702.0424378099783,1304.9107250747534,31.91368317604065
2.0,0.8535308584794392,702.0263593068702,1304.8783524690898,31.93684434890747
5.0,0.8535426053870618,702.0332982771225,1304.8260254306003,32.23892164230347
