C,R2,MAE,RMSE,fit_time(s)
0.1,0.2256755932638137,1605.4010753393852,3000.25682639784,43.461902379989624
1.0,0.6920700113608909,913.022026384987,1892.0079255470569,37.46135854721069
5.0,0.8134333358277503,764.1311410114654,1472.6989647188705,36.86761784553528
10.0,0.831273395418338,740.7764753995623,1400.518151204154,38.08804750442505
50.0,0.8453317287409238,719.9983100447573,1340.9036533502504,36.765172243118286
100.0,0.8474003648067214,715.3891885001806,1331.906400771956,36.22648286819458
500.0,0.8505079568863467,708.9991651857938,1318.274942128661,37.412813663482666
1000.0,0.8513395534373694,707.065030075915,1314.603168974749,36.50291156768799
5000.0,0.8531986839958094,703.1177891212726,1306.3571684676706,41.24393153190613
10000.0,0.8533089850299995,702.478258715949,1305.8663022164644,43.49882888793945
20000.0,0.8535237229786085,702.0408398206415,1304.910136799476,45.97626543045044
